Frame,T1Right,T2Right,T3Right,T4Right,T5Right,T6Right,T7Right,T8Right
201,15.41017845,28.26890872,3.563818177,34.40756847,7.048440395,23.70196279,4.6348247,28.51593463
202,15.4706018,28.26890872,3.271090338,34.55000318,7.176089186,23.57679809,4.726612318,28.43675368
203,15.39276921,28.23521999,3.12498064,34.56452285,7.45136766,23.65116758,4.607680544,28.11556949
204,15.22098131,28.26890872,3.007882976,35.21594184,7.436833735,23.97042044,5.546262165,28.07521897
205,15.43904868,28.26890872,3.188559549,36.23390412,7.767060705,23.74426415,5.599159937,27.99579968
206,15.36126036,28.30266814,3.448890836,36.51011038,7.641691959,23.14291045,6.162290483,28.15441422
207,15.36126036,28.28,3.184130651,37.67967813,7.723940963,22.56473426,7.623408162,28.19387281
208,15.36126036,28.28,3.046729394,37.46370702,7.517361239,21.37242036,7.799093281,28.27340121
209,15.36126036,28.23521999,2.782022286,37.93015223,7.462302058,20.43539674,7.986825151,28.07968661
210,15.43904868,28.32481993,2.897425064,38.4806395,7.315452139,19.72678991,8.66481252,27.96738901
211,15.36126036,28.44805512,3.001620895,39.09381619,7.740974616,19.21093855,8.904704375,28.29169659
212,15.36126036,28.38117348,3.236877508,38.76886916,7.812953347,18.71606796,9.130748053,28.50091928
213,15.37636004,28.46221692,3.132998564,38.67390976,7.990554424,18.51094379,9.566826015,28.74589696
214,15.43904868,28.58573742,3.307320365,39.3351271,7.817969046,19.09673899,10.82554017,28.87081073
215,15.40763447,28.67642935,3.772006363,40.18541427,7.735503604,19.18864331,11.30756349,28.85304559
216,15.40763447,28.89089877,4.332677694,39.96332799,7.470702243,19.0064528,12.08834943,28.7740294
217,15.25216313,28.94940027,5.029411099,40.37541747,7.37777419,18.62317868,12.22660967,28.8888906
218,15.36126036,29.15121404,5.101228087,39.62715271,6.832229504,18.95978397,12.12564885,28.8666828
219,15.32989132,29.81683176,5.48714279,38.70896454,6.743525487,19.8100742,12.71804262,28.9007748
220,15.48539234,30.50946607,5.965774384,37.88237543,6.1265638,20.81882379,12.51258566,29.1454581
221,15.48539234,31.14778194,6.241927907,37.27787548,6.1265638,20.96300742,12.87756499,29.40106665
222,15.25216313,31.24880286,6.647037235,36.73604268,5.958673678,20.64061549,11.90918704,29.57075745
223,15.46948687,31.03678437,6.711828365,35.54548995,6.098603119,20.70713114,12.44006945,29.86359818
224,15.64095138,31.03521819,7.688536922,33.69069094,6.61179552,20.23646609,10.15269344,30.1340886
225,15.6872983,31.43072026,8.562141788,32.34071514,6.843236661,19.63452958,9.657037227,30.4196
226,15.71875211,31.78043172,8.810706215,32.22263552,6.896190253,18.99721074,10.27260434,30.57989719
227,15.53412141,31.85253221,8.90276721,32.3202,6.369492287,18.23640666,10.94739129,30.71297524
228,15.42858438,31.27227731,9.110805892,32.41785779,6.185909149,18.24964307,11.4442957,30.5357684
229,15.45640579,30.98723453,9.033374563,32.54293902,6.104256875,18.48,11.84078916,30.37761281
230,15.75153681,30.71134149,9.083054993,32.71138273,6.023580331,18.5523191,11.90576331,30.22392165
231,15.70957211,30.65922008,9.24,33.03458939,5.950247054,17.31740581,11.9928939,29.84342929
232,16.36781427,30.68524075,9.412165744,33.65208629,5.914830175,16.34058506,11.95098255,29.61177063
233,17.38716584,30.63568534,9.688161848,34.64083232,5.89704197,16.16257405,11.93483372,29.69637284
234,17.93259557,30.58615216,10.14156753,34.48604402,5.89704197,16.54731301,12.19013372,29.73304693
235,17.72795848,30.63568534,10.31373453,34.37962187,5.916420539,17.08917786,12.24083657,29.65975914
236,17.9790527,30.63568534,10.92229719,34.44660099,5.962882524,17.32175141,11.93128593,29.73874187
237,18.51467051,30.63568534,11.15089234,34.49427268,5.718036026,16.87970426,11.49105809,29.73874187
238,19.08614408,30.36522221,11.34742966,34.5688322,5.813760229,16.72188506,10.94681835,29.66567956
239,19.24421077,30.24813965,11.60768022,34.63906696,5.758205276,16.82331715,10.45536647,29.70218039
240,19.60799837,30.54757653,11.68308179,34.21160037,5.695780895,18.34374008,10.11989881,29.70218039
241,19.35632527,31.32523073,11.69756761,33.0836796,5.640175884,19.1974665,10.32239662,29.70819793
242,19.44176124,30.26415332,11.94914558,32.54293902,5.578117245,19.32965556,10.26802415,29.56301473
243,20.28421731,30.91103622,11.69314329,32.52327462,5.683655162,19.82344632,10.24172485,29.42596187
244,21.78277632,30.7902239,11.28215866,34.17128994,5.584578767,20.46054858,10.16195572,29.46180171
245,23.45330544,31.16484276,12.00138925,35.64332914,5.640175884,19.85000554,10.09507761,29.53366946
246,22.97536072,31.60405037,13.70707963,36.45273104,5.584578767,20.3073173,10.1073407,29.45477564
247,22.62427723,31.35704986,14.33173374,38.02305153,5.640175884,20.287541,10.11493945,29.45477564
248,22.67391523,30.94449741,14.03903358,38.89340098,5.702659029,19.68143084,10.25916332,29.45477564
249,22.59861943,30.74216388,13.62642374,39.53076453,5.75139357,19.57101857,10.24738796,29.44796088
250,22.47449612,30.7902239,13.40553915,40.04787056,5.689445667,19.13397983,10.06006918,29.37588344
251,22.38158243,30.99411557,13.22892588,40.55594852,5.640175884,19.37478609,10.32376365,29.10330291
252,22.06854775,30.70439708,12.90590439,40.80617443,5.640175884,19.82431638,10.03525625,28.85369772
253,21.6951401,31.0517349,12.68532885,41.61436829,5.640175884,19.50159296,10.14589572,28.78296496
254,21.65064581,30.73793018,12.44989703,42.56873068,5.647121745,20.07723009,10.15470098,28.4518029
255,21.95457128,31.3982267,11.94691458,42.52598114,5.939696962,20.40798589,10.09942573,28.58195235
256,22.17104995,32.21183087,11.52090274,43.32029843,5.987549749,20.16661003,10.20322459,28.61731504
257,22.04124715,32.32442049,11.173649,43.09220923,5.689445667,21.21424578,9.983246766,28.53852526
258,22.21471368,31.49396387,10.98185558,42.52185132,5.886662892,21.38562209,9.928280415,28.53061233
259,22.21471368,30.98384405,10.42171886,41.68706351,6.068963668,21.29487901,9.972717985,28.53852526
260,22.37226283,30.4554032,10.27061984,40.66714448,6.288478353,21.30430191,9.962492861,28.53852526
261,22.45928156,29.61177063,10.46855558,39.06348228,6.13500383,22.46165515,10.07268624,28.53852526
262,22.52982379,28.81737365,11.10128497,38.28602502,6.052146727,22.41175691,10.09321356,28.53852526
263,22.48642328,28.57322831,11.59538115,38.08531139,5.824269225,21.66476365,10.18291903,28.2941905
264,22.52982379,28.45615631,11.65903324,37.71045988,5.952881655,21.47167362,10.32953358,27.77803218
265,22.52982379,28.24560284,11.96514404,37.10501853,5.8371774,21.44938899,10.56902645,27.77803218
266,22.49451062,28.38410147,12.75276284,36.24082736,6.276998009,21.38188242,10.36726232,27.77024134
267,22.58161376,28.41496507,12.91282773,35.35414431,6.772296509,21.647966,10.76322331,27.77024134
268,22.52042628,28.49739806,13.78328263,34.85027173,7.15508211,21.97777059,11.39775416,27.84906519
269,22.77493218,28.49739806,14.68631363,34.24875028,7.515275111,22.02858071,11.48054633,27.88468253
270,22.90735428,28.45615631,15.31832889,33.70753459,7.313522817,22.02195995,11.05982278,27.88468253
271,22.93218803,28.49739806,15.53412141,32.52269608,8.078376074,22.0240247,10.39022618,27.84906519
272,23.21812947,28.45957245,15.6872983,31.7110353,8.066527382,22.13388931,9.643226016,27.84906519
273,23.52166661,28.49739806,14.82223843,30.80982389,7.884871591,22.30178468,8.978356197,27.81351499
274,23.48864577,28.45957245,14.07472856,29.19985205,8.423301016,22.3597839,8.777006323,27.85683399
275,23.45571214,28.45957245,12.96892779,28.31878528,8.416596937,22.53455586,8.830970955,27.88147715
